datetime,avg_power,max_power,avg_energy,minute_diff,energy_diff,out_humid,out_temp,out_light,next_humid,next_temp,next_heatindex,predicted_en_per_minute
22-Sep-2021 09:43:00,2727.13,2860.7,108.76,6,0.11999999999999,79.82,29.44,1659.85714285714,73.675,25.45,26.17,0.011553753
22-Sep-2021 09:49:00,2716.0,2767.6,108.88,6,0.109999999999999,79.3555555555556,29.6138888888889,1649.02777777778,76.425,25.5083333333333,26.4552777777778,0.014664089
22-Sep-2021 09:55:00,2552.27,2627.0,108.99,6,0.0900000000000034,78.9777777777778,29.475,1633.16666666667,74.2416666666666,25.3972222222222,26.0216666666667,0.011996104
22-Sep-2021 10:01:00,2699.65,2814.4,109.08,7,0.129999999999995,78.7428571428571,29.6666666666667,1707.28571428571,76.3595238095238,25.5095238095238,26.4942857142857,0.014676888
22-Sep-2021 10:08:00,2565.9,2576.2,109.21,6,0.109999999999999,77.8388888888889,29.7055555555556,1815.38888888889,73.4138888888889,25.2805555555555,25.7808333333333,0.011236718
22-Sep-2021 10:14:00,2583.9,2618.3,109.32,7,0.100000000000009,76.9785714285714,29.7619047619048,1477.64285714286,74.9071428571429,25.4785714285714,26.3052380952381,0.012250828
22-Sep-2021 10:21:00,2673.77,2809.3,109.42,8,0.159999999999997,77.0375,29.71875,1499.66666666667,75.5744680851064,25.4914893617021,26.3157446808511,0.013108429
22-Sep-2021 10:29:00,2649.95,2654.5,109.58,7,0.0799999999999983,77.5976190476191,29.7214285714286,1579.33333333333,73.02,25.2525,25.739,0.010538612
22-Sep-2021 10:36:00,2629.2,2643.8,109.66,8,0.13000000000001,76.9833333333333,30.0208333333333,1598.08333333333,74.7604166666667,25.4291666666667,26.1779166666667,0.012648501
22-Sep-2021 10:44:00,2642.0,2664.8,109.79,7,0.0699999999999932,75.6976190476191,30.6690476190476,2318.2619047619,74.5190476190476,25.3452380952381,25.9254761904762,0.012926727
22-Sep-2021 10:51:00,2614.05,2622.5,109.86,7,0.0700000000000074,73.9095238095238,30.947619047619,2032.11904761905,73.8595238095238,25.4119047619048,26.165,0.012391151
22-Sep-2021 10:58:00,2802.5,2854.4,109.93,7,0.149999999999991,74.302380952381,30.8571428571429,1776.66666666667,76.0166666666667,25.4666666666667,26.2630952380952,0.013680253
